frame, gt_idx, det_idx,  IoU, JIoU(det&gt), JIoU(det&gt_unc), JIoU ratio
003470,     0,      1,  0.86,   0.34,     0.21,     1.63
003470,     1,      0,  0.89,   0.78,     0.93,     0.83
003471,     0,      4,  0.91,   0.59,     0.47,     1.24
003471,     4,      3,  0.92,   0.77,     0.67,     1.15
003474,     0,      0,  0.85,   0.76,     1.00,     0.76
003474,     3,      4,  0.88,   0.77,     0.64,     1.20
003474,     4,      2,  0.92,   0.85,     0.87,     0.98
003474,     5,      3,  0.87,   0.78,     0.91,     0.86
003474,     6,      7,  0.90,   0.81,     0.84,     0.97
003474,     7,      8,  0.78,   0.76,     0.83,     0.92
003474,     8,     10,  0.82,   0.79,     0.62,     1.27
003474,     9,      5,  0.89,   0.84,     0.75,     1.12
003478,     0,      3,  0.94,   0.80,     0.94,     0.86
003478,     1,      2,  0.85,   0.73,     1.00,     0.73
003478,     3,      0,  0.91,   0.81,     0.93,     0.87
003478,     4,      4,  0.90,   0.85,     0.70,     1.20
003478,     5,      5,  0.89,   0.83,     0.67,     1.23
003478,     7,      1,  0.96,   0.79,     1.00,     0.79
003482,     0,      2,  0.93,   0.77,     1.00,     0.77
003482,     1,      0,  0.87,   0.78,     0.90,     0.86
003482,     2,      1,  0.81,   0.78,     0.89,     0.87
003483,     1,      0,  0.92,   0.81,     0.92,     0.88
003483,     2,      2,  0.87,   0.80,     0.88,     0.90
003484,     0,      1,  0.76,   0.74,     0.69,     1.06
003484,     1,      0,  0.87,   0.75,     1.00,     0.75
003484,     2,      2,  0.94,   0.80,     0.92,     0.87
003484,     3,      3,  0.86,   0.79,     0.88,     0.90
003484,     4,     -1,  0.00,   0.00,     0.36,     0.00
003487,     8,      0,  0.92,   0.79,     1.00,     0.79
003487,     9,      3,  0.69,   0.74,     0.81,     0.92
003488,     0,      6,  0.88,   0.44,     0.35,     1.26
003488,     2,      0,  0.93,   0.78,     1.00,     0.78
003488,     3,      1,  0.93,   0.83,     0.93,     0.89
003488,     4,      2,  0.95,   0.81,     0.91,     0.89
003488,     6,     -1,  0.00,   0.00,     0.36,     0.00
003488,     8,      5,  0.87,   0.85,     0.80,     1.06
003490,     0,      1,  0.71,   0.72,     0.90,     0.79
003490,     3,      0,  0.93,   0.82,     0.90,     0.91
003490,     4,      2,  0.83,   0.52,     0.43,     1.20
003495,     0,      0,  0.67,   0.66,     0.76,     0.87
003497,     0,      3,  0.91,   0.78,     1.00,     0.78
003497,     2,      2,  0.91,   0.82,     0.92,     0.89
003497,     3,      0,  0.89,   0.79,     0.92,     0.86
003497,     4,      1,  0.86,   0.74,     0.70,     1.07
003497,     5,     -1,  0.00,   0.00,     0.54,     0.00
003503,     1,      2,  0.88,   0.78,     0.95,     0.83
003503,     2,      1,  0.90,   0.78,     0.94,     0.84
003503,     3,      3,  0.83,   0.85,     0.77,     1.10
003503,     4,      4,  0.86,   0.83,     0.73,     1.14
003504,     1,      1,  0.89,   0.77,     1.00,     0.77
003506,     0,      1,  0.90,   0.80,     0.87,     0.92
003506,     1,      0,  0.86,   0.79,     0.90,     0.88
003506,     2,      2,  0.90,   0.83,     0.88,     0.94
003506,     3,      3,  0.81,   0.75,     0.71,     1.06
003511,     1,      1,  0.84,   0.80,     0.83,     0.96
003515,     0,      1,  0.91,   0.79,     1.00,     0.79
003515,     1,      3,  0.93,   0.77,     1.00,     0.77
003515,     2,      0,  0.86,   0.82,     0.87,     0.94
003515,     3,      2,  0.93,   0.86,     0.84,     1.02
003515,     4,      4,  0.94,   0.83,     0.86,     0.97
003517,     0,      0,  0.89,   0.80,     0.94,     0.85
003517,     4,      2,  0.74,   0.73,     0.68,     1.07
003520,     0,      1,  0.66,   0.60,     0.91,     0.66
003520,     2,      0,  0.88,   0.78,     0.95,     0.83
003521,     0,      9,  0.80,   0.64,     0.49,     1.31
003521,     1,      6,  0.89,   0.75,     0.90,     0.83
003521,     2,      4,  0.91,   0.83,     0.68,     1.21
003521,     3,      2,  0.92,   0.87,     0.86,     1.01
003521,     4,      3,  0.88,   0.72,     0.89,     0.81
003521,     7,      0,  0.84,   0.76,     1.00,     0.76
003524,     0,      1,  0.90,   0.75,     1.00,     0.75
003524,     2,      2,  0.79,   0.81,     0.72,     1.13
003527,     2,      1,  0.88,   0.82,     0.92,     0.89
003528,     0,      1,  0.90,   0.54,     0.42,     1.28
003528,     1,      0,  0.86,   0.85,     0.83,     1.02
003528,     2,      2,  0.68,   0.59,     0.44,     1.33
003529,     2,     13,  0.56,   0.54,     0.35,     1.52
003529,     3,      3,  0.93,   0.76,     1.00,     0.76
003529,     4,      5,  0.89,   0.76,     0.93,     0.82
003529,     5,      2,  0.97,   0.81,     0.93,     0.87
003529,     7,      4,  0.77,   0.78,     0.86,     0.91
003529,     8,      6,  0.78,   0.72,     0.53,     1.36
003530,     0,      1,  0.67,   0.42,     0.28,     1.46
003531,     1,      1,  0.91,   0.75,     1.00,     0.75
003531,     3,      0,  0.95,   0.78,     1.00,     0.78
003531,     4,      2,  0.93,   0.83,     0.94,     0.88
003531,     5,      3,  0.89,   0.83,     0.92,     0.90
003531,     6,      6,  0.85,   0.80,     0.88,     0.91
003531,     7,      5,  0.83,   0.77,     0.68,     1.14
003531,     8,      8,  0.81,   0.54,     0.35,     1.55
003531,     9,      7,  0.89,   0.82,     0.71,     1.15
003543,     1,      1,  0.88,   0.85,     0.80,     1.06
003543,     2,      0,  0.87,   0.79,     0.90,     0.88
003543,     3,      3,  0.37,   0.63,     0.69,     0.90
003544,     1,      5,  0.85,   0.74,     0.92,     0.80
003544,     2,      0,  0.85,   0.79,     0.88,     0.90
003544,     3,      3,  0.72,   0.71,     0.87,     0.81
003544,     5,     -1,  0.00,   0.00,     0.61,     0.00
003547,     1,      0,  0.92,   0.81,     0.94,     0.86
003547,     2,      1,  0.90,   0.88,     0.80,     1.10
003547,     3,      2,  0.93,   0.89,     0.81,     1.10
003547,     4,      3,  0.86,   0.67,     0.51,     1.30
003550,     2,      1,  0.86,   0.52,     0.36,     1.45
003552,     1,      1,  0.84,   0.76,     0.94,     0.81
003553,     1,      0,  0.81,   0.77,     0.90,     0.85
003554,     1,      3,  0.82,   0.76,     0.90,     0.84
003554,     2,      0,  0.90,   0.85,     0.80,     1.06
003554,     3,      2,  0.01,   0.47,     0.82,     0.57
003557,     0,      0,  0.91,   0.78,     1.00,     0.78
003557,     1,      1,  0.76,   0.50,     0.38,     1.32
003559,     0,      0,  0.86,   0.76,     1.00,     0.76
003562,     1,      0,  0.90,   0.82,     0.92,     0.89
003563,     0,      4,  0.95,   0.45,     0.34,     1.32
003563,     1,      0,  0.88,   0.76,     1.00,     0.76
003563,     2,      1,  0.96,   0.77,     1.00,     0.77
003563,     3,      6,  0.76,   0.73,     0.78,     0.93
003563,     4,      2,  0.95,   0.87,     0.90,     0.97
003563,     6,      7,  0.81,   0.37,     0.22,     1.64
003563,     7,      3,  0.91,   0.88,     0.81,     1.09
003568,     0,      6,  0.97,   0.43,     0.32,     1.34
003568,     1,      1,  0.85,   0.75,     1.00,     0.75
003568,     2,      0,  0.95,   0.78,     1.00,     0.78
003568,     3,      4,  0.83,   0.81,     0.78,     1.04
003568,     4,      2,  0.89,   0.84,     0.91,     0.93
003568,     5,      5,  0.87,   0.85,     0.82,     1.03
003574,     2,      1,  0.92,   0.75,     1.00,     0.75
003574,     3,      4,  0.96,   0.78,     1.00,     0.78
003574,     4,      0,  0.93,   0.75,     0.88,     0.86
003574,     5,      2,  0.97,   0.82,     0.93,     0.88
003574,     6,      3,  0.88,   0.83,     0.91,     0.91
003574,     7,      6,  0.87,   0.81,     0.88,     0.92
003574,     8,      7,  0.87,   0.82,     0.70,     1.16
003574,     9,     11,  0.74,   0.60,     0.39,     1.53
003574,    10,      5,  0.84,   0.79,     0.70,     1.13
003580,     0,      0,  0.73,   0.50,     0.36,     1.39
003582,     0,      0,  0.88,   0.78,     1.00,     0.78
003583,     0,      2,  0.84,   0.41,     0.28,     1.47
003584,     0,      0,  0.91,   0.79,     0.95,     0.83
003588,     0,      1,  0.92,   0.82,     0.90,     0.90
003588,     2,      2,  0.74,   0.70,     0.86,     0.82
003588,     3,      4,  0.69,   0.72,     0.66,     1.09
003600,     0,      1,  0.71,   0.58,     0.44,     1.32
003600,     2,      0,  0.84,   0.80,     0.75,     1.07
003600,     4,     -1,  0.00,   0.00,     0.43,     0.00
003601,     0,      1,  0.67,   0.52,     0.38,     1.37
003601,     2,      0,  0.88,   0.82,     0.79,     1.05
003604,     0,      0,  0.91,   0.80,     0.95,     0.84
003605,     0,      0,  0.92,   0.80,     0.95,     0.85
003605,     1,      1,  0.94,   0.83,     0.92,     0.90
003605,     2,      2,  0.89,   0.84,     0.82,     1.03
003605,     3,      3,  0.93,   0.82,     0.73,     1.12
003605,     4,      4,  0.81,   0.76,     0.90,     0.85
003605,     5,     11,  0.61,   0.57,     0.43,     1.32
003605,     8,      8,  0.77,   0.58,     0.47,     1.23
003605,     9,      7,  0.70,   0.51,     0.42,     1.20
003605,    10,      6,  0.91,   0.84,     0.69,     1.22
003605,    11,      5,  0.95,   0.85,     0.67,     1.26
003607,     0,      0,  0.93,   0.76,     0.86,     0.89
003609,     0,      4,  0.89,   0.76,     1.00,     0.76
003609,     2,      3,  0.93,   0.78,     1.00,     0.78
003609,     3,      1,  0.94,   0.78,     1.00,     0.78
003609,     4,      5,  0.94,   0.83,     0.91,     0.91
003609,     5,      2,  0.95,   0.80,     0.92,     0.87
003609,     6,      8,  0.94,   0.87,     0.83,     1.06
003609,     7,      6,  0.90,   0.84,     0.81,     1.03
003609,     8,      7,  0.90,   0.80,     0.71,     1.12
003609,     9,     10,  0.85,   0.54,     0.41,     1.33
003611,     0,      0,  0.65,   0.63,     0.86,     0.73
003614,     0,      0,  0.91,   0.56,     0.45,     1.25
003616,     0,      0,  0.67,   0.64,     0.88,     0.72
003618,     0,      4,  0.95,   0.89,     0.74,     1.20
003618,     2,      5,  0.88,   0.82,     0.76,     1.08
003618,     3,     -1,  0.00,   0.00,     0.62,     0.00
003618,     4,      2,  0.84,   0.78,     0.87,     0.89
003618,     5,      3,  0.88,   0.72,     1.00,     0.72
003618,     6,      0,  0.91,   0.79,     1.00,     0.79
003618,     7,      1,  0.89,   0.74,     1.00,     0.74
003620,     0,      1,  0.93,   0.79,     1.00,     0.79
003620,     1,      2,  0.88,   0.84,     0.89,     0.95
003620,     2,      7,  0.68,   0.74,     0.72,     1.03
003620,     3,      3,  0.89,   0.84,     0.87,     0.96
003620,     4,      5,  0.86,   0.87,     0.79,     1.11
003620,     5,      6,  0.87,   0.85,     0.88,     0.97
003620,     6,      4,  0.89,   0.91,     0.82,     1.11
003620,     7,      0,  0.85,   0.78,     1.00,     0.78
003620,     8,      9,  0.69,   0.48,     0.34,     1.41
003621,     2,      5,  0.82,   0.71,     1.00,     0.71
003621,     5,      2,  0.74,   0.69,     0.90,     0.77
003621,     6,      4,  0.94,   0.76,     0.91,     0.84
003621,     7,      1,  0.93,   0.81,     0.91,     0.88
003621,     8,      7,  0.83,   0.78,     0.88,     0.89
003621,     9,      9,  0.92,   0.81,     0.89,     0.90
003621,    10,      8,  0.92,   0.76,     0.61,     1.26
003621,    11,      6,  0.94,   0.89,     0.85,     1.05
003622,     0,      2,  0.84,   0.84,     0.83,     1.01
003622,     2,      0,  0.95,   0.80,     1.00,     0.80
003622,     3,      1,  0.93,   0.77,     1.00,     0.77
003622,     5,      3,  0.90,   0.86,     0.87,     0.98
003622,     7,      6,  0.82,   0.77,     0.64,     1.21
003622,     8,      5,  0.84,   0.54,     0.41,     1.29
003622,     9,      8,  0.85,   0.33,     0.22,     1.48
003623,     0,      0,  0.79,   0.81,     0.83,     0.97
003624,     0,      2,  0.81,   0.79,     0.79,     1.00
003624,     1,      0,  0.95,   0.79,     1.00,     0.79
003624,     2,      1,  0.87,   0.78,     0.94,     0.83
003624,     3,      3,  0.84,   0.77,     0.85,     0.91
003627,     0,      0,  0.84,   0.80,     0.92,     0.87
003627,     1,      1,  0.82,   0.82,     0.87,     0.94
003629,     1,      0,  0.56,   0.56,     0.52,     1.07
003630,     1,      0,  0.82,   0.79,     0.63,     1.25
003631,     0,      0,  0.77,   0.78,     0.77,     1.02
003633,     0,      1,  0.92,   0.77,     1.00,     0.77
003633,     1,      4,  0.87,   0.71,     1.00,     0.71
003633,     5,      7,  0.93,   0.74,     0.91,     0.82
003633,     6,      0,  0.93,   0.80,     0.91,     0.88
003633,     7,      5,  0.83,   0.78,     0.89,     0.88
003633,     8,      9,  0.88,   0.80,     0.90,     0.89
003633,     9,      8,  0.84,   0.80,     0.66,     1.21
003633,    10,      3,  0.93,   0.88,     0.86,     1.02
003635,     0,     -1,  0.00,   0.00,     0.72,     0.00
003643,     0,      0,  0.69,   0.62,     0.91,     0.69
003647,     1,      0,  0.83,   0.73,     1.00,     0.73
003647,     4,      5,  0.91,   0.83,     0.64,     1.30
003652,     1,      3,  0.86,   0.76,     0.88,     0.86
003652,     2,      0,  0.93,   0.77,     1.00,     0.77
003652,     3,      1,  0.91,   0.78,     0.93,     0.85
003652,     4,      6,  0.87,   0.85,     0.74,     1.15
003652,     5,      4,  0.94,   0.59,     0.45,     1.30
003652,     6,      5,  0.84,   0.73,     0.58,     1.24
003652,     7,      7,  0.89,   0.54,     0.39,     1.39
003653,     0,      2,  0.92,   0.79,     1.00,     0.79
003653,     2,      0,  0.85,   0.74,     0.88,     0.85
003653,     3,      4,  0.89,   0.77,     1.00,     0.77
003653,     4,      7,  0.95,   0.84,     0.88,     0.96
003653,     5,      5,  0.92,   0.84,     0.77,     1.09
003653,     6,      3,  0.85,   0.82,     0.89,     0.93
003653,     7,      6,  0.76,   0.60,     0.49,     1.22
003653,     8,     11,  0.86,   0.78,     0.88,     0.88
003653,     9,      8,  0.58,   0.64,     0.54,     1.19
003655,     1,      0,  0.87,   0.83,     0.83,     1.00
003658,     1,      1,  0.90,   0.80,     0.93,     0.86
003659,     0,      6,  0.91,   0.39,     0.29,     1.38
003659,     2,      0,  0.98,   0.81,     1.00,     0.81
003659,     3,      1,  0.92,   0.83,     0.93,     0.90
003659,     4,      2,  0.88,   0.83,     0.86,     0.96
003659,     6,      7,  0.19,   0.67,     0.71,     0.95
003659,     8,      4,  0.82,   0.75,     0.87,     0.86
003661,     0,      2,  0.92,   0.78,     1.00,     0.78
003661,     1,      1,  0.83,   0.75,     1.00,     0.75
003661,     2,      0,  0.80,   0.75,     0.91,     0.82
003661,     3,      4,  0.86,   0.79,     0.93,     0.84
003661,     4,      8,  0.89,   0.84,     0.81,     1.05
003661,     5,      5,  0.93,   0.87,     0.84,     1.04
003661,     6,      6,  0.89,   0.83,     0.84,     0.98
003661,     7,      7,  0.83,   0.59,     0.47,     1.26
003661,     8,     -1,  0.00,   0.00,     0.89,     0.00
003661,     9,     10,  0.69,   0.74,     0.61,     1.23
003662,     1,      0,  0.94,   0.83,     0.93,     0.88
003662,     2,      2,  0.83,   0.76,     0.90,     0.84
003662,     3,      6,  0.74,   0.66,     0.87,     0.76
003662,     4,      3,  0.85,   0.77,     0.88,     0.87
003662,     5,      4,  0.73,   0.69,     0.80,     0.86
003662,     6,      5,  0.84,   0.80,     0.79,     1.02
003667,     0,      0,  0.89,   0.87,     0.83,     1.05
003668,     4,      1,  0.82,   0.71,     0.59,     1.20
003669,     1,      1,  0.90,   0.86,     0.85,     1.02
003669,     2,      0,  0.83,   0.82,     0.89,     0.92
003669,     3,     -1,  0.00,   0.00,     0.35,     0.00
003671,     0,      0,  0.93,   0.79,     0.73,     1.08
003676,     0,      0,  0.92,   0.78,     1.00,     0.78
003676,     4,      4,  0.88,   0.82,     0.83,     0.99
003676,     5,      8,  0.85,   0.75,     0.94,     0.80
003676,     6,      6,  0.80,   0.74,     0.87,     0.85
003676,     7,      5,  0.84,   0.73,     0.63,     1.16
003676,     8,     14,  0.83,   0.80,     0.73,     1.09
003676,     9,      9,  0.82,   0.78,     0.64,     1.22
003676,    10,      7,  0.93,   0.87,     0.78,     1.11
003676,    11,      3,  0.95,   0.87,     0.81,     1.07
003677,     3,      1,  0.81,   0.82,     0.71,     1.15
003677,     5,      2,  0.82,   0.82,     0.75,     1.09
003677,     6,      3,  0.87,   0.47,     0.37,     1.30
003679,     0,      1,  0.65,   0.34,     0.22,     1.54
003682,     0,      0,  0.69,   0.66,     0.88,     0.75
003683,    12,      0,  0.91,   0.85,     0.86,     0.98
003684,     0,      2,  0.85,   0.75,     1.00,     0.75
003684,     2,      5,  0.92,   0.84,     0.83,     1.01
003684,     3,      0,  0.94,   0.84,     0.88,     0.95
003684,     4,      1,  0.89,   0.82,     0.88,     0.93
003684,     5,      3,  0.89,   0.77,     0.66,     1.18
003684,     6,      6,  0.89,   0.83,     0.66,     1.26
003689,     0,     -1,  0.00,   0.00,     0.24,     0.00
003690,     2,      1,  0.86,   0.76,     1.00,     0.76
003690,     3,      5,  0.82,   0.80,     0.69,     1.16
003690,     4,      3,  0.85,   0.79,     0.87,     0.91
003690,     5,      4,  0.90,   0.86,     0.83,     1.03
003691,     2,      3,  0.90,   0.73,     1.00,     0.73
003691,     3,      4,  0.96,   0.83,     0.91,     0.91
003691,     4,      0,  0.94,   0.79,     1.00,     0.79
003691,     5,      5,  0.89,   0.83,     0.88,     0.94
003691,     6,     -1,  0.00,   0.00,     0.91,     0.00
003691,     7,      6,  0.83,   0.71,     0.55,     1.30
003692,     1,      0,  0.72,   0.69,     0.88,     0.79
003702,     1,      0,  0.91,   0.77,     1.00,     0.77
003705,     0,      1,  0.90,   0.74,     1.00,     0.74
003705,     2,      3,  0.65,   0.72,     0.73,     0.99
003707,     0,      0,  0.73,   0.65,     0.51,     1.26
003708,     1,      1,  0.91,   0.86,     0.90,     0.95
003708,     2,      4,  0.94,   0.82,     0.83,     0.98
003708,     3,      3,  0.98,   0.87,     0.78,     1.13
003708,     4,      5,  0.94,   0.90,     0.78,     1.15
003708,     5,      7,  0.74,   0.63,     0.52,     1.21
003708,     6,      8,  0.55,   0.60,     0.54,     1.10
003711,     1,      1,  0.92,   0.84,     0.91,     0.93
003712,     0,      0,  0.95,   0.81,     0.91,     0.89
003712,     1,      1,  0.84,   0.54,     0.40,     1.35
003715,     0,      0,  0.89,   0.84,     0.90,     0.93
003715,     1,      1,  0.81,   0.72,     1.00,     0.72
003715,     2,      2,  0.82,   0.78,     0.89,     0.88
003715,     3,      3,  0.81,   0.77,     0.80,     0.96
003715,     4,      4,  0.82,   0.78,     0.75,     1.04
003715,     5,     -1,  0.00,   0.00,     0.33,     0.00
003715,     6,     -1,  0.00,   0.00,     0.32,     0.00
003716,     0,      1,  0.80,   0.76,     0.90,     0.85
003716,     1,      2,  0.69,   0.74,     0.78,     0.95
003719,     0,      1,  0.93,   0.78,     1.00,     0.78
003719,     2,      6,  0.92,   0.81,     0.92,     0.88
003719,     3,      3,  0.85,   0.74,     1.00,     0.74
003719,     4,      2,  0.92,   0.80,     0.92,     0.87
003719,     5,      4,  0.90,   0.85,     0.87,     0.98
003719,     6,      5,  0.94,   0.79,     0.69,     1.14
003719,     7,      7,  0.93,   0.81,     0.69,     1.17
003726,     2,      0,  0.89,   0.86,     0.67,     1.28
003735,     0,      0,  0.89,   0.86,     0.77,     1.12
003735,     2,      2,  0.90,   0.73,     0.86,     0.85
003735,     3,     -1,  0.00,   0.00,     0.64,     0.00
003735,     4,      1,  0.86,   0.82,     0.86,     0.96
003735,     6,      3,  0.70,   0.74,     0.63,     1.17
003736,     0,      6,  0.82,   0.75,     0.87,     0.86
003736,     1,      1,  0.93,   0.83,     0.92,     0.91
003736,     2,      4,  0.93,   0.79,     0.92,     0.86
003736,     3,      2,  0.93,   0.78,     0.91,     0.85
003736,     6,      0,  0.86,   0.75,     1.00,     0.75
003738,     0,      0,  0.92,   0.77,     1.00,     0.77
003739,     1,      0,  0.90,   0.85,     0.84,     1.02
003746,     0,      1,  0.84,   0.77,     1.00,     0.77
003746,     1,      2,  0.80,   0.81,     0.94,     0.86
003746,     2,      0,  0.86,   0.83,     0.91,     0.91
003746,     3,      3,  0.88,   0.85,     0.92,     0.93
003746,     4,      4,  0.86,   0.86,     0.85,     1.01
003746,     8,      5,  0.84,   0.82,     0.72,     1.15
003747,     0,      1,  0.80,   0.69,     0.60,     1.14
003747,     2,      0,  0.84,   0.79,     0.84,     0.94
003751,     0,      1,  0.67,   0.69,     0.74,     0.94
003751,     3,      2,  0.87,   0.85,     0.78,     1.09
003755,     0,      0,  0.90,   0.77,     1.00,     0.77
003755,     1,      2,  0.93,   0.77,     1.00,     0.77
003755,     2,      1,  0.96,   0.80,     0.92,     0.87
003755,     3,      4,  0.92,   0.85,     0.81,     1.06
003755,     4,      3,  0.90,   0.87,     0.83,     1.04
003755,     5,      5,  0.87,   0.85,     0.83,     1.03
003755,     6,      6,  0.87,   0.88,     0.72,     1.22
003756,     0,      0,  0.91,   0.84,     0.84,     1.00
003756,     2,      1,  0.82,   0.77,     0.86,     0.90
003764,     0,      2,  0.86,   0.76,     0.88,     0.86
003764,     1,      1,  0.87,   0.79,     0.90,     0.88
003764,     2,      0,  0.90,   0.83,     0.91,     0.91
003764,     3,      3,  0.90,   0.83,     0.78,     1.06
003769,     1,      0,  0.84,   0.82,     0.88,     0.92
003771,     0,      0,  0.90,   0.77,     1.00,     0.77
003775,     0,      2,  0.83,   0.70,     0.93,     0.75
003775,     1,     10,  0.71,   0.74,     0.71,     1.05
003778,     0,      2,  0.95,   0.82,     0.93,     0.88
003778,     1,      1,  0.89,   0.81,     0.91,     0.90
003778,     2,      3,  0.90,   0.83,     0.81,     1.03
003778,     4,      4,  0.88,   0.79,     0.65,     1.22
003778,     6,      0,  0.86,   0.76,     1.00,     0.76
003779,     3,      2,  0.91,   0.78,     0.93,     0.85
003779,     4,      1,  0.91,   0.88,     0.79,     1.11
003779,     5,      5,  0.67,   0.64,     0.85,     0.75
003779,     6,      0,  0.92,   0.83,     0.91,     0.91
003779,     7,     12,  0.02,   0.62,     0.65,     0.96
003779,     8,      6,  0.87,   0.84,     0.66,     1.26
003781,     0,      6,  0.93,   0.40,     0.31,     1.30
003781,     2,      1,  0.94,   0.79,     1.00,     0.79
003781,     3,      5,  0.82,   0.71,     0.57,     1.24
003781,     4,      2,  0.92,   0.84,     0.92,     0.91
003781,     5,      7,  0.90,   0.70,     0.81,     0.87
003781,     6,      8,  0.81,   0.65,     0.81,     0.80
003781,     9,      3,  0.88,   0.80,     0.92,     0.87
003782,     0,      9,  0.68,   0.51,     0.44,     1.14
003782,     1,      4,  0.89,   0.86,     0.82,     1.04
003782,     2,      8,  0.93,   0.87,     0.78,     1.11
003782,     3,      6,  0.90,   0.83,     0.84,     0.98
003782,     4,      3,  0.84,   0.73,     1.00,     0.73
003782,     5,      1,  0.94,   0.86,     0.89,     0.96
003782,     6,      0,  0.85,   0.78,     0.90,     0.87
003793,     0,      0,  0.88,   0.84,     0.82,     1.03
003794,     0,      0,  0.84,   0.83,     0.87,     0.96
003800,     0,      1,  0.94,   0.77,     0.88,     0.88
003800,     1,      0,  0.85,   0.78,     1.00,     0.78
003800,     2,      3,  0.84,   0.78,     0.75,     1.04
003800,     3,      4,  0.92,   0.87,     0.85,     1.02
003800,     4,      2,  0.92,   0.59,     0.47,     1.24
003800,     7,      6,  0.89,   0.44,     0.31,     1.41
003802,     1,      0,  0.93,   0.78,     1.00,     0.78
003802,     2,      3,  0.96,   0.79,     1.00,     0.79
003802,     3,      2,  0.91,   0.83,     0.92,     0.90
003802,     4,      1,  0.82,   0.76,     0.88,     0.86
003802,     5,      5,  0.75,   0.70,     0.89,     0.79
003802,     6,      6,  0.82,   0.37,     0.27,     1.38
003802,     7,     -1,  0.00,   0.00,     0.62,     0.00
003804,     0,      2,  0.92,   0.80,     0.93,     0.86
003804,     1,      3,  0.91,   0.78,     1.00,     0.78
003804,     2,      1,  0.98,   0.79,     1.00,     0.79
003804,     3,      0,  0.96,   0.84,     0.92,     0.92
003804,     4,      4,  0.91,   0.89,     0.85,     1.04
003804,     5,      5,  0.84,   0.81,     0.73,     1.11
003804,     6,      6,  0.88,   0.86,     0.83,     1.03
003804,     7,     13,  0.16,   0.43,     0.29,     1.51
003805,    11,      0,  0.85,   0.79,     0.92,     0.86
003805,    12,      1,  0.84,   0.78,     0.92,     0.85
003807,     0,      5,  0.91,   0.42,     0.32,     1.33
003807,     2,      1,  0.95,   0.79,     0.91,     0.87
003807,     3,      2,  0.88,   0.82,     0.89,     0.92
003807,     5,      3,  0.93,   0.84,     0.83,     1.01
003807,     6,      7,  0.87,   0.77,     0.55,     1.40
003807,     7,      4,  0.93,   0.86,     0.84,     1.03
003808,     2,      0,  0.89,   0.80,     0.90,     0.89
003808,     3,      1,  0.93,   0.75,     0.88,     0.85
003808,     4,      2,  0.90,   0.75,     0.88,     0.86
003808,     5,      4,  0.75,   0.78,     0.67,     1.17
003809,     2,      0,  0.84,   0.86,     0.78,     1.10
003811,     0,      0,  0.87,   0.78,     1.00,     0.78
003811,     1,      1,  0.92,   0.79,     1.00,     0.79
003811,     2,      3,  0.78,   0.42,     0.30,     1.42
003811,     4,      4,  0.90,   0.80,     0.91,     0.88
003811,     5,      2,  0.90,   0.82,     0.74,     1.10
003812,     0,      3,  0.85,   0.67,     0.56,     1.19
003812,     1,      0,  0.95,   0.79,     1.00,     0.79
003812,     4,      1,  0.90,   0.85,     0.87,     0.97
003812,     5,      5,  0.68,   0.75,     0.70,     1.07
003812,     6,      4,  0.91,   0.85,     0.87,     0.97
003814,     1,      0,  0.84,   0.83,     0.85,     0.98
003820,     1,      0,  0.89,   0.77,     0.87,     0.88
003820,     2,      2,  0.76,   0.72,     0.89,     0.81
003820,     3,      1,  0.86,   0.74,     1.00,     0.74
003820,     4,      3,  0.79,   0.78,     0.84,     0.93
003822,     1,      3,  0.93,   0.77,     1.00,     0.77
003822,     2,      0,  0.90,   0.78,     1.00,     0.78
003822,     4,      9,  0.82,   0.70,     0.55,     1.27
003822,     5,      6,  0.96,   0.86,     0.85,     1.01
003822,     6,      5,  0.95,   0.87,     0.81,     1.08
003822,     7,      4,  0.87,   0.76,     0.93,     0.82
003822,     8,      2,  0.83,   0.78,     0.90,     0.86
003822,     9,      7,  0.86,   0.84,     0.85,     0.99
003822,    10,      1,  0.88,   0.76,     1.00,     0.76
003828,     0,      0,  0.94,   0.84,     0.93,     0.90
003830,     0,      9,  0.71,   0.70,     0.80,     0.87
003830,     1,      6,  0.87,   0.85,     0.85,     1.00
003830,     2,      7,  0.82,   0.80,     0.83,     0.97
003830,     3,      5,  0.94,   0.87,     0.80,     1.09
003830,     4,      4,  0.88,   0.78,     0.91,     0.86
003830,     5,      2,  0.91,   0.76,     0.92,     0.83
003830,     6,      8,  0.75,   0.70,     0.84,     0.83
003830,     8,      0,  0.92,   0.80,     0.93,     0.86
003830,     9,      1,  0.89,   0.78,     1.00,     0.78
003834,     0,      0,  0.94,   0.58,     0.45,     1.28
003834,     3,      2,  0.22,   0.69,     0.75,     0.91
003835,     0,      0,  0.83,   0.76,     0.94,     0.81
003837,     0,      2,  0.94,   0.82,     0.86,     0.96
003837,     2,      0,  0.81,   0.75,     0.87,     0.86
003847,     1,      2,  0.90,   0.78,     0.92,     0.84
003847,     2,      1,  0.93,   0.81,     0.93,     0.87
003847,     3,      3,  0.85,   0.77,     0.70,     1.10
003847,     4,      5,  0.91,   0.81,     0.66,     1.24
003852,     1,      0,  0.95,   0.80,     1.00,     0.80
003852,     3,      4,  0.88,   0.84,     0.86,     0.98
003852,     4,      3,  0.84,   0.80,     0.68,     1.17
003852,     5,      5,  0.71,   0.75,     0.71,     1.06
003852,     6,      6,  0.92,   0.75,     0.55,     1.35
