frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
003370,     2,      2,  0.82,   0.59,     0.56,     0.52,     1.05
003370,     3,      4,  0.66,   0.59,     0.58,     0.51,     1.01
003395,     3,      6,  0.57,   0.41,     0.32,     0.33,     1.27
003395,     4,      3,  0.48,   0.64,     0.67,     0.44,     0.96
003396,     6,      6,  0.83,   0.43,     0.38,     0.38,     1.14
003396,     7,      8,  0.19,   0.44,     0.26,     0.06,     1.71
003397,     0,      0,  0.90,   0.43,     0.40,     0.40,     1.08
003403,     1,      1,  0.92,   0.76,     0.67,     0.67,     1.14
003405,     2,     -1,  0.00,   0.00,     0.40,     0.00,     0.00
003408,     3,      2,  0.90,   0.76,     0.70,     0.69,     1.09
003409,     4,      4,  0.95,   0.56,     0.50,     0.50,     1.11
003409,     6,      8,  0.58,   0.58,     0.69,     0.47,     0.84
003409,     7,     11,  0.59,   0.31,     0.28,     0.22,     1.10
003409,     9,     -1,  0.00,   0.00,     0.20,     0.00,     0.00
003409,    10,      9,  0.68,   0.46,     0.47,     0.37,     0.98
003409,    11,     12,  0.50,   0.41,     0.44,     0.33,     0.93
003409,    12,      7,  0.86,   0.72,     0.63,     0.64,     1.14
003409,    13,     13,  0.95,   0.40,     0.29,     0.29,     1.40
003410,     5,      6,  0.81,   0.72,     0.68,     0.64,     1.05
003412,     0,      0,  0.65,   0.44,     0.38,     0.40,     1.15
003417,     3,      7,  0.66,   0.54,     0.42,     0.37,     1.29
003434,     5,      4,  0.78,   0.48,     0.44,     0.45,     1.10
003434,     6,      5,  0.88,   0.37,     0.32,     0.34,     1.16
003443,     5,      5,  0.88,   0.73,     0.68,     0.68,     1.07
003443,     6,      6,  0.74,   0.47,     0.37,     0.38,     1.30
003447,     0,      0,  0.75,   0.37,     0.34,     0.32,     1.10
003450,     1,      0,  0.84,   0.46,     0.46,     0.44,     1.00
003453,     0,      1,  0.22,   0.47,     0.42,     0.07,     1.11
003456,     1,      1,  0.34,   0.41,     0.69,     0.36,     0.60
003461,     0,      1,  0.87,   0.73,     0.66,     0.65,     1.12
003461,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
003470,     0,      1,  0.86,   0.26,     0.21,     0.20,     1.24
003471,     0,      4,  0.91,   0.50,     0.47,     0.47,     1.07
003471,     4,      3,  0.92,   0.71,     0.67,     0.67,     1.06
003474,     3,      4,  0.88,   0.71,     0.64,     0.63,     1.11
003474,     8,     10,  0.82,   0.71,     0.62,     0.60,     1.15
003478,     5,      5,  0.89,   0.76,     0.67,     0.63,     1.14
003484,     0,      1,  0.76,   0.70,     0.69,     0.62,     1.00
003484,     4,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
003488,     0,      6,  0.88,   0.37,     0.35,     0.34,     1.06
003488,     6,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
003490,     4,      2,  0.83,   0.44,     0.43,     0.40,     1.02
003497,     4,      1,  0.86,   0.72,     0.70,     0.70,     1.03
003497,     5,     -1,  0.00,   0.00,     0.54,     0.00,     0.00
003517,     4,      2,  0.74,   0.71,     0.68,     0.63,     1.05
003521,     0,      9,  0.80,   0.53,     0.49,     0.46,     1.09
003521,     2,      4,  0.91,   0.74,     0.68,     0.68,     1.08
003528,     0,      1,  0.90,   0.45,     0.42,     0.42,     1.06
003528,     2,      2,  0.68,   0.50,     0.44,     0.44,     1.12
003529,     2,     13,  0.56,   0.44,     0.35,     0.36,     1.25
003529,     8,      6,  0.78,   0.60,     0.53,     0.53,     1.14
003530,     0,      1,  0.67,   0.33,     0.28,     0.28,     1.16
003531,     7,      5,  0.83,   0.72,     0.68,     0.67,     1.06
003531,     8,      8,  0.81,   0.45,     0.35,     0.36,     1.28
003543,     3,      3,  0.37,   0.62,     0.69,     0.36,     0.89
003544,     5,     -1,  0.00,   0.00,     0.61,     0.00,     0.00
003547,     4,      3,  0.86,   0.57,     0.51,     0.52,     1.12
003550,     2,      1,  0.86,   0.43,     0.36,     0.35,     1.20
003557,     1,      1,  0.76,   0.42,     0.38,     0.38,     1.10
003563,     0,      4,  0.95,   0.37,     0.34,     0.34,     1.07
003563,     6,      7,  0.81,   0.28,     0.22,     0.22,     1.24
003568,     0,      6,  0.97,   0.34,     0.32,     0.32,     1.08
003574,     9,     11,  0.74,   0.51,     0.39,     0.40,     1.29
003574,    10,      5,  0.84,   0.73,     0.70,     0.69,     1.04
003580,     0,      0,  0.73,   0.41,     0.36,     0.35,     1.16
003583,     0,      2,  0.84,   0.32,     0.28,     0.27,     1.16
003588,     3,      4,  0.69,   0.70,     0.66,     0.57,     1.07
003600,     0,      1,  0.71,   0.50,     0.44,     0.43,     1.13
003600,     4,     -1,  0.00,   0.00,     0.43,     0.00,     0.00
003601,     0,      1,  0.67,   0.44,     0.38,     0.39,     1.15
003605,     5,     11,  0.61,   0.47,     0.43,     0.35,     1.11
003605,     8,      8,  0.77,   0.48,     0.47,     0.43,     1.01
003605,     9,      7,  0.70,   0.39,     0.42,     0.32,     0.93
003605,    10,      6,  0.91,   0.79,     0.69,     0.69,     1.14
003605,    11,      5,  0.95,   0.73,     0.67,     0.67,     1.09
003609,     9,     10,  0.85,   0.45,     0.41,     0.41,     1.11
003614,     0,      0,  0.91,   0.47,     0.45,     0.45,     1.06
003618,     3,     -1,  0.00,   0.00,     0.62,     0.00,     0.00
003620,     8,      9,  0.69,   0.37,     0.34,     0.30,     1.09
003621,    10,      8,  0.92,   0.68,     0.61,     0.61,     1.13
003622,     7,      6,  0.82,   0.68,     0.64,     0.61,     1.06
003622,     8,      5,  0.84,   0.44,     0.41,     0.39,     1.07
