frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
005241,     7,      4,  0.86,   0.40,     0.37,     0.36,     1.10
005241,     8,      3,  0.78,   0.67,     0.70,     0.64,     0.96
005241,     9,      5,  0.77,   0.67,     0.66,     0.63,     1.00
005241,    10,      7,  0.87,   0.59,     0.55,     0.55,     1.09
005246,     0,      1,  0.75,   0.51,     0.49,     0.45,     1.04
005251,     6,      4,  0.96,   0.71,     0.67,     0.67,     1.06
005251,     8,     -1,  0.00,   0.00,     0.70,     0.00,     0.00
005251,     9,     10,  0.81,   0.76,     0.64,     0.62,     1.20
005255,     6,      7,  0.81,   0.26,     0.23,     0.22,     1.14
005260,     0,      3,  0.87,   0.31,     0.30,     0.30,     1.04
005262,     0,      1,  0.81,   0.50,     0.39,     0.38,     1.29
005267,     1,     -1,  0.00,   0.00,     0.23,     0.00,     0.00
005274,     5,      6,  0.77,   0.32,     0.26,     0.27,     1.24
005279,     1,      3,  0.81,   0.25,     0.22,     0.22,     1.14
005280,     5,     10,  0.70,   0.55,     0.47,     0.46,     1.17
005280,     8,     -1,  0.00,   0.00,     0.70,     0.00,     0.00
005280,    10,      9,  0.88,   0.59,     0.55,     0.55,     1.08
005284,     0,      0,  0.61,   0.50,     0.47,     0.45,     1.07
005297,     0,     -1,  0.00,   0.00,     0.26,     0.00,     0.00
005297,     1,      0,  0.91,   0.78,     0.69,     0.68,     1.13
005298,     1,      1,  0.75,   0.64,     0.67,     0.58,     0.96
005299,     0,      1,  0.64,   0.46,     0.40,     0.41,     1.13
005309,     0,      0,  0.74,   0.39,     0.35,     0.35,     1.11
005311,     3,      0,  0.87,   0.76,     0.68,     0.67,     1.13
005312,     3,      2,  0.65,   0.64,     0.66,     0.53,     0.96
005312,     6,      5,  0.01,   0.62,     0.60,     0.01,     1.03
005316,     4,      1,  0.82,   0.62,     0.55,     0.53,     1.13
005316,     6,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
005318,     0,      3,  0.90,   0.41,     0.39,     0.38,     1.06
005318,     5,      4,  0.43,   0.41,     0.39,     0.17,     1.06
005318,     9,     13,  0.63,   0.36,     0.32,     0.28,     1.12
005321,     0,      3,  0.96,   0.52,     0.49,     0.49,     1.06
005321,     5,      7,  0.83,   0.69,     0.65,     0.59,     1.06
005321,    10,      6,  0.88,   0.35,     0.27,     0.28,     1.26
005330,     4,      3,  0.83,   0.70,     0.62,     0.63,     1.13
005330,     5,      5,  0.00,   0.59,     0.40,     0.00,     1.47
005333,     4,      4,  0.91,   0.65,     0.62,     0.61,     1.04
005333,     7,     -1,  0.00,   0.00,     0.27,     0.00,     0.00
005334,     0,      2,  0.82,   0.27,     0.23,     0.23,     1.17
005345,     4,      4,  0.86,   0.42,     0.41,     0.38,     1.02
005347,     2,      3,  0.54,   0.48,     0.45,     0.41,     1.06
005350,     6,      5,  0.93,   0.76,     0.69,     0.69,     1.11
005365,     1,      2,  0.29,   0.35,     0.63,     0.33,     0.55
005365,     2,      1,  0.78,   0.43,     0.37,     0.37,     1.14
005366,     8,      5,  0.79,   0.52,     0.49,     0.48,     1.07
005366,     9,      7,  0.71,   0.41,     0.40,     0.37,     1.04
005375,     0,      1,  0.85,   0.33,     0.27,     0.27,     1.20
005379,     6,      6,  0.86,   0.50,     0.37,     0.39,     1.32
005381,     3,     10,  0.92,   0.72,     0.64,     0.64,     1.13
005385,     1,      2,  0.73,   0.31,     0.24,     0.23,     1.27
005386,     4,     11,  0.78,   0.69,     0.59,     0.58,     1.16
005386,     9,     -1,  0.00,   0.00,     0.68,     0.00,     0.00
005404,     1,      2,  0.88,   0.47,     0.44,     0.43,     1.07
005405,     0,      1,  0.76,   0.41,     0.36,     0.36,     1.14
005415,     4,      6,  0.87,   0.78,     0.70,     0.68,     1.12
005426,     7,      8,  0.75,   0.66,     0.61,     0.59,     1.09
005426,    12,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
005427,     6,      8,  0.84,   0.74,     0.66,     0.64,     1.12
005427,     8,     10,  0.26,   0.58,     0.64,     0.21,     0.91
005427,     9,     12,  0.77,   0.50,     0.43,     0.40,     1.17
005431,     6,      8,  0.77,   0.67,     0.59,     0.58,     1.13
005431,    11,      6,  0.69,   0.39,     0.33,     0.35,     1.18
005443,     6,     -1,  0.00,   0.00,     0.59,     0.00,     0.00
005448,     0,      5,  0.68,   0.43,     0.33,     0.22,     1.31
005450,     1,      1,  0.74,   0.48,     0.39,     0.40,     1.24
005453,     6,      4,  0.87,   0.55,     0.47,     0.44,     1.19
005459,     2,      0,  0.86,   0.43,     0.39,     0.39,     1.08
005459,     3,      2,  0.68,   0.37,     0.31,     0.29,     1.19
005465,     0,      9,  0.77,   0.59,     0.52,     0.45,     1.13
005465,     1,      5,  0.91,   0.76,     0.69,     0.69,     1.10
005466,     4,      4,  0.80,   0.50,     0.49,     0.46,     1.02
005466,     5,      6,  0.79,   0.70,     0.67,     0.63,     1.04
005466,     6,      5,  0.80,   0.67,     0.64,     0.61,     1.04
005473,     4,      3,  0.69,   0.53,     0.45,     0.40,     1.17
005479,     5,      3,  0.91,   0.71,     0.66,     0.66,     1.08
005479,     6,      7,  0.83,   0.66,     0.58,     0.56,     1.15
005481,     6,      6,  0.85,   0.56,     0.54,     0.51,     1.05
005481,     7,      7,  0.80,   0.28,     0.29,     0.23,     0.99
005481,     8,      9,  0.84,   0.31,     0.24,     0.24,     1.25
005481,     9,     -1,  0.00,   0.00,     0.57,     0.00,     0.00
005486,     5,      5,  0.81,   0.42,     0.35,     0.38,     1.20
005489,     2,      2,  0.66,   0.52,     0.50,     0.45,     1.04
005498,     7,      7,  0.89,   0.68,     0.61,     0.58,     1.11
005498,     8,      6,  0.88,   0.69,     0.61,     0.63,     1.13
005511,     1,      1,  0.86,   0.73,     0.69,     0.65,     1.06
005528,     0,      5,  0.89,   0.39,     0.32,     0.32,     1.21
005531,     2,      2,  0.85,   0.78,     0.70,     0.70,     1.11
005538,     0,      1,  0.66,   0.54,     0.54,     0.49,     1.01
005542,     0,      3,  0.87,   0.45,     0.42,     0.42,     1.06
005542,     8,     10,  0.70,   0.26,     0.22,     0.18,     1.21
005544,     0,      7,  0.04,   0.34,     0.64,     0.02,     0.53
005545,     2,      1,  0.63,   0.71,     0.67,     0.59,     1.07
005546,     4,      8,  0.85,   0.60,     0.53,     0.53,     1.13
005546,     9,     10,  0.79,   0.56,     0.50,     0.50,     1.13
005546,    10,     -1,  0.00,   0.00,     0.64,     0.00,     0.00
005546,    13,      7,  0.85,   0.72,     0.69,     0.68,     1.05
005546,    14,     -1,  0.00,   0.00,     0.42,     0.00,     0.00
005552,     9,      8,  0.94,   0.54,     0.49,     0.49,     1.09
005552,    10,     11,  0.85,   0.43,     0.33,     0.33,     1.30
005552,    11,      9,  0.90,   0.68,     0.64,     0.64,     1.06
005557,     0,      3,  0.93,   0.31,     0.29,     0.29,     1.07
005558,     1,      0,  0.80,   0.52,     0.48,     0.47,     1.08
005558,     2,     -1,  0.00,   0.00,     0.34,     0.00,     0.00
005570,     4,      5,  0.92,   0.64,     0.59,     0.59,     1.10
005570,     6,      6,  0.82,   0.37,     0.32,     0.33,     1.15
005571,     0,      2,  0.76,   0.36,     0.29,     0.28,     1.23
005573,     0,      7,  0.90,   0.42,     0.39,     0.38,     1.08
005577,     2,      3,  0.88,   0.71,     0.64,     0.63,     1.11
005580,     2,      8,  0.91,   0.69,     0.61,     0.60,     1.13
005586,     2,      3,  0.72,   0.50,     0.39,     0.40,     1.30
005587,     0,      0,  0.83,   0.40,     0.36,     0.35,     1.11
005588,     2,      8,  0.80,   0.42,     0.34,     0.35,     1.25
005588,     8,      6,  0.88,   0.55,     0.49,     0.49,     1.12
005595,     9,      9,  0.91,   0.71,     0.63,     0.63,     1.12
005596,     2,      1,  0.61,   0.67,     0.64,     0.55,     1.04
005602,     3,      6,  0.82,   0.75,     0.64,     0.62,     1.18
005618,     4,      4,  0.79,   0.64,     0.64,     0.58,     1.01
005618,     5,      7,  0.85,   0.73,     0.67,     0.66,     1.09
005619,     0,      2,  0.82,   0.34,     0.28,     0.28,     1.21
005623,     5,      5,  0.89,   0.62,     0.55,     0.56,     1.12
005623,     6,      6,  0.84,   0.73,     0.66,     0.62,     1.11
005625,    13,      9,  0.91,   0.72,     0.64,     0.64,     1.13
005630,     2,     -1,  0.00,   0.00,     0.42,     0.00,     0.00
005635,     3,      3,  0.62,   0.55,     0.59,     0.51,     0.94
005639,     7,      7,  0.77,   0.37,     0.36,     0.32,     1.01
005642,     0,      2,  0.72,   0.34,     0.28,     0.28,     1.24
005649,     0,      1,  0.89,   0.28,     0.23,     0.24,     1.19
005649,     2,      3,  0.89,   0.84,     0.70,     0.70,     1.20
005650,     0,      0,  0.73,   0.51,     0.42,     0.43,     1.22
005652,     0,      7,  0.66,   0.25,     0.23,     0.21,     1.09
005652,     4,      3,  0.87,   0.73,     0.69,     0.67,     1.06
005656,     0,      1,  0.76,   0.37,     0.34,     0.34,     1.10
005659,     2,      3,  0.84,   0.61,     0.53,     0.54,     1.15
005664,     5,      6,  0.94,   0.73,     0.66,     0.66,     1.12
005664,     6,      5,  0.69,   0.68,     0.64,     0.59,     1.05
005668,     5,      4,  0.91,   0.68,     0.62,     0.62,     1.10
005668,     6,      6,  0.93,   0.71,     0.66,     0.66,     1.08
005673,     1,      1,  0.84,   0.36,     0.35,     0.32,     1.05
005680,     0,      3,  0.91,   0.42,     0.39,     0.39,     1.08
005685,     0,      2,  0.90,   0.45,     0.43,     0.43,     1.05
005685,     2,      8,  0.09,   0.39,     0.26,     0.03,     1.51
005685,     5,      3,  0.74,   0.62,     0.59,     0.58,     1.04
005695,    10,     13,  0.92,   0.60,     0.50,     0.50,     1.19
005698,     2,      3,  0.70,   0.39,     0.36,     0.35,     1.08
005700,     9,      7,  0.01,   0.67,     0.55,     0.01,     1.23
005704,     1,      2,  0.83,   0.41,     0.40,     0.36,     1.02
005707,     4,      4,  0.68,   0.53,     0.43,     0.43,     1.23
005712,     0,      3,  0.76,   0.32,     0.27,     0.27,     1.19
005713,     0,      0,  0.78,   0.41,     0.36,     0.35,     1.14
005725,     3,      3,  0.74,   0.59,     0.50,     0.49,     1.19
005728,     0,      4,  0.90,   0.59,     0.55,     0.55,     1.06
005741,     2,      3,  0.76,   0.64,     0.58,     0.58,     1.09
005754,     0,      2,  0.92,   0.39,     0.37,     0.37,     1.05
005754,     4,      3,  0.86,   0.76,     0.69,     0.69,     1.10
005754,     7,     11,  0.05,   0.49,     0.45,     0.03,     1.10
005754,     8,      8,  0.73,   0.32,     0.24,     0.18,     1.32
005754,    11,     10,  0.77,   0.52,     0.38,     0.42,     1.38
005757,     0,     14,  0.01,   0.52,     0.40,     0.00,     1.29
005757,     5,      7,  0.86,   0.55,     0.47,     0.49,     1.15
005762,     6,      7,  0.75,   0.69,     0.62,     0.62,     1.11
005762,     7,     12,  0.85,   0.77,     0.68,     0.67,     1.12
005762,    12,     18,  0.00,   0.37,     0.45,     0.00,     0.83
005765,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
005777,     7,      7,  0.80,   0.38,     0.34,     0.35,     1.11
005782,     2,      1,  0.56,   0.46,     0.40,     0.38,     1.17
005784,     4,      2,  0.76,   0.41,     0.41,     0.38,     1.01
005786,     0,      1,  0.78,   0.39,     0.35,     0.34,     1.12
005787,     0,      0,  0.58,   0.38,     0.32,     0.35,     1.18
005800,     6,      5,  0.69,   0.48,     0.41,     0.40,     1.18
005803,    11,     10,  0.79,   0.70,     0.59,     0.59,     1.19
005803,    12,     13,  0.78,   0.57,     0.54,     0.50,     1.04
005807,     0,      8,  0.76,   0.37,     0.29,     0.29,     1.27
005807,     3,      2,  0.04,   0.42,     0.35,     0.02,     1.20
005811,     6,      5,  0.85,   0.78,     0.69,     0.69,     1.12
005826,     0,      0,  0.74,   0.53,     0.52,     0.49,     1.02
005827,     2,      2,  0.87,   0.60,     0.52,     0.52,     1.16
005834,     0,      6,  0.78,   0.29,     0.28,     0.27,     1.05
005834,     6,      3,  0.91,   0.72,     0.66,     0.66,     1.09
005834,     8,      9,  0.93,   0.78,     0.69,     0.69,     1.13
005855,     0,      4,  0.92,   0.46,     0.43,     0.43,     1.06
005855,     5,      5,  0.79,   0.65,     0.57,     0.58,     1.15
005864,     8,      8,  0.87,   0.67,     0.60,     0.59,     1.11
005876,     4,      2,  0.80,   0.40,     0.40,     0.37,     1.01
005881,     4,      3,  0.81,   0.63,     0.65,     0.61,     0.98
005881,     7,      6,  0.89,   0.32,     0.29,     0.27,     1.10
005881,     8,      5,  0.90,   0.71,     0.67,     0.65,     1.06
005885,     4,      4,  0.87,   0.60,     0.53,     0.53,     1.12
005885,     5,      5,  0.71,   0.25,     0.19,     0.21,     1.35
005889,     3,      2,  0.71,   0.66,     0.60,     0.58,     1.11
005892,     8,      8,  0.85,   0.33,     0.25,     0.28,     1.34
005893,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
005893,     5,      5,  0.94,   0.76,     0.68,     0.68,     1.13
005900,     4,     10,  0.81,   0.53,     0.45,     0.45,     1.20
005901,     7,     10,  0.96,   0.52,     0.45,     0.45,     1.15
005901,     8,      9,  0.84,   0.77,     0.67,     0.66,     1.15
005903,     4,     11,  0.89,   0.31,     0.25,     0.25,     1.24
005903,     8,      9,  0.76,   0.69,     0.62,     0.61,     1.11
005903,     9,      5,  0.92,   0.76,     0.68,     0.68,     1.11
005909,     5,      5,  0.85,   0.59,     0.55,     0.52,     1.06
005911,     3,     -1,  0.00,   0.00,     0.37,     0.00,     0.00
005911,     4,     -1,  0.00,   0.00,     0.53,     0.00,     0.00
005913,     1,      2,  0.42,   0.49,     0.50,     0.24,     0.97
005917,     5,      4,  0.85,   0.57,     0.51,     0.50,     1.12
005917,     6,      5,  0.94,   0.68,     0.61,     0.61,     1.11
005917,     7,     -1,  0.00,   0.00,     0.34,     0.00,     0.00
005919,     4,      3,  0.93,   0.55,     0.51,     0.52,     1.07
005919,     8,      8,  0.03,   0.57,     0.50,     0.02,     1.14
005922,     3,     -1,  0.00,   0.00,     0.47,     0.00,     0.00
005923,     0,      2,  0.76,   0.34,     0.30,     0.30,     1.16
005926,     0,      3,  0.89,   0.31,     0.26,     0.26,     1.17
005927,     3,      4,  0.88,   0.61,     0.55,     0.55,     1.09
005927,     4,     10,  0.88,   0.32,     0.28,     0.22,     1.16
005927,     6,      6,  0.74,   0.61,     0.57,     0.53,     1.06
005927,     8,      8,  0.62,   0.64,     0.61,     0.52,     1.06
005935,     0,      3,  0.91,   0.49,     0.46,     0.46,     1.06
005935,     7,      8,  0.82,   0.66,     0.59,     0.55,     1.12
005935,     8,     11,  0.89,   0.78,     0.62,     0.61,     1.24
005935,    12,     10,  0.78,   0.56,     0.45,     0.43,     1.25
005944,     0,      0,  0.66,   0.60,     0.67,     0.56,     0.90
005948,    14,     13,  0.89,   0.75,     0.65,     0.64,     1.15
005952,     0,      6,  0.86,   0.32,     0.30,     0.29,     1.07
005952,     6,     -1,  0.00,   0.00,     0.56,     0.00,     0.00
005963,     5,     -1,  0.00,   0.00,     0.39,     0.00,     0.00
005963,     7,     -1,  0.00,   0.00,     0.40,     0.00,     0.00
005965,     1,      1,  0.76,   0.29,     0.27,     0.25,     1.09
005970,     4,      3,  0.82,   0.48,     0.43,     0.44,     1.11
005970,     5,     10,  0.30,   0.27,     0.28,     0.17,     0.96
005970,     6,      8,  0.84,   0.75,     0.70,     0.67,     1.07
005970,     8,      9,  0.74,   0.66,     0.67,     0.57,     0.98
005972,     3,      2,  0.73,   0.45,     0.39,     0.37,     1.16
005981,     3,      4,  0.39,   0.44,     0.34,     0.17,     1.32
005981,     4,      3,  0.92,   0.76,     0.69,     0.69,     1.11
005986,     0,      2,  0.94,   0.66,     0.62,     0.62,     1.06
005986,     4,      4,  0.61,   0.27,     0.25,     0.24,     1.10
005999,     4,      4,  0.77,   0.48,     0.46,     0.43,     1.03
005999,     5,      5,  0.75,   0.58,     0.53,     0.50,     1.10
006002,     3,      3,  0.93,   0.66,     0.59,     0.59,     1.12
006003,     4,      3,  0.85,   0.72,     0.69,     0.68,     1.04
006005,     6,      5,  0.89,   0.77,     0.70,     0.68,     1.10
006008,     2,      0,  0.77,   0.43,     0.37,     0.39,     1.17
006008,     6,      8,  0.67,   0.49,     0.44,     0.43,     1.11
006008,     7,      6,  0.70,   0.57,     0.54,     0.50,     1.07
006012,     0,      0,  0.71,   0.35,     0.31,     0.31,     1.13
006014,     2,      3,  0.79,   0.45,     0.41,     0.38,     1.12
006016,     7,      6,  0.84,   0.42,     0.38,     0.39,     1.13
006027,     5,      4,  0.64,   0.64,     0.66,     0.56,     0.97
006028,     0,      0,  0.80,   0.52,     0.50,     0.51,     1.06
006030,     0,      2,  0.73,   0.67,     0.51,     0.47,     1.33
006033,     4,      5,  0.75,   0.41,     0.36,     0.25,     1.15
006034,     7,     10,  0.83,   0.53,     0.47,     0.46,     1.12
006034,     8,      9,  0.85,   0.72,     0.65,     0.64,     1.11
006034,     9,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
006034,    14,     -1,  0.00,   0.00,     0.43,     0.00,     0.00
006036,     3,      2,  0.85,   0.76,     0.69,     0.68,     1.11
006039,     4,      5,  0.82,   0.60,     0.54,     0.50,     1.12
006039,     5,      4,  0.83,   0.75,     0.67,     0.65,     1.12
006041,     5,      3,  0.72,   0.65,     0.59,     0.57,     1.09
006043,     2,      2,  0.67,   0.58,     0.59,     0.53,     0.97
006045,     0,      1,  0.86,   0.61,     0.60,     0.60,     1.01
006045,     4,      8,  0.21,   0.30,     0.26,     0.25,     1.16
006045,     6,      7,  0.84,   0.59,     0.54,     0.50,     1.09
006047,     4,      3,  0.92,   0.44,     0.42,     0.39,     1.05
006048,     5,      5,  0.78,   0.71,     0.66,     0.61,     1.07
006048,     6,      8,  0.40,   0.48,     0.69,     0.39,     0.70
006054,     5,      4,  0.92,   0.54,     0.48,     0.48,     1.13
006054,     6,      6,  0.88,   0.51,     0.42,     0.43,     1.21
006058,     2,      2,  0.79,   0.74,     0.67,     0.66,     1.10
006060,     7,     14,  0.92,   0.63,     0.49,     0.49,     1.29
006063,     0,      3,  0.95,   0.63,     0.59,     0.59,     1.06
006063,     4,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
006066,     3,     10,  0.86,   0.72,     0.63,     0.63,     1.15
006068,     1,      3,  0.25,   0.20,     0.25,     0.14,     0.79
006074,     0,      5,  0.88,   0.50,     0.49,     0.46,     1.03
006074,     2,      1,  0.82,   0.71,     0.69,     0.64,     1.03
006074,     3,      4,  0.67,   0.31,     0.26,     0.24,     1.22
006078,     6,      9,  0.86,   0.69,     0.60,     0.59,     1.16
006098,     2,      3,  0.81,   0.63,     0.57,     0.56,     1.12
006106,     6,      7,  0.89,   0.44,     0.42,     0.39,     1.06
006106,     7,      6,  0.87,   0.73,     0.69,     0.65,     1.05
006110,     7,      6,  0.85,   0.66,     0.64,     0.57,     1.04
006110,     8,      8,  0.88,   0.67,     0.57,     0.56,     1.18
006114,     5,      2,  0.87,   0.67,     0.65,     0.61,     1.04
006116,     0,      1,  0.62,   0.49,     0.46,     0.45,     1.06
006116,     3,      2,  0.84,   0.79,     0.70,     0.68,     1.14
006116,     5,     -1,  0.00,   0.00,     0.38,     0.00,     0.00
006117,     6,      6,  0.85,   0.61,     0.55,     0.56,     1.11
006118,     0,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
006123,     2,      2,  0.86,   0.75,     0.66,     0.63,     1.14
006127,     7,     -1,  0.00,   0.00,     0.38,     0.00,     0.00
006144,     0,      1,  0.85,   0.45,     0.42,     0.41,     1.08
006154,     4,      4,  0.75,   0.51,     0.43,     0.43,     1.19
006154,     5,     -1,  0.00,   0.00,     0.32,     0.00,     0.00
006161,     6,      5,  0.72,   0.71,     0.68,     0.65,     1.04
006161,     7,      6,  0.80,   0.74,     0.68,     0.66,     1.09
006163,     5,      4,  0.90,   0.76,     0.68,     0.67,     1.11
006163,    11,     13,  0.72,   0.52,     0.46,     0.45,     1.12
006163,    13,     14,  0.90,   0.66,     0.57,     0.57,     1.15
006163,    15,     17,  0.44,   0.46,     0.34,     0.21,     1.34
006167,     2,      3,  0.85,   0.61,     0.53,     0.55,     1.14
006182,     2,      2,  0.00,   0.15,     0.68,     0.00,     0.22
006186,     5,      5,  0.84,   0.72,     0.68,     0.66,     1.05
006187,     7,      9,  0.09,   0.50,     0.65,     0.08,     0.77
006187,     8,     -1,  0.00,   0.00,     0.38,     0.00,     0.00
006195,     2,      2,  0.84,   0.72,     0.67,     0.66,     1.07
006196,     2,      1,  0.65,   0.46,     0.39,     0.37,     1.18
006198,     7,      5,  0.90,   0.33,     0.31,     0.31,     1.07
006198,     8,      6,  0.88,   0.60,     0.54,     0.52,     1.11
006202,     0,      4,  0.92,   0.37,     0.35,     0.35,     1.04
006202,     7,      6,  0.85,   0.70,     0.65,     0.61,     1.08
006202,     8,      8,  0.03,   0.28,     0.24,     0.01,     1.18
006202,    12,      7,  0.88,   0.52,     0.45,     0.45,     1.15
006208,     4,      3,  0.90,   0.64,     0.60,     0.59,     1.07
006208,     6,      9,  0.86,   0.56,     0.51,     0.51,     1.11
006208,     7,      8,  0.74,   0.57,     0.54,     0.49,     1.04
006219,     0,      0,  0.62,   0.54,     0.54,     0.51,     1.00
006232,     2,      4,  0.41,   0.56,     0.63,     0.27,     0.90
006233,     3,      4,  0.91,   0.76,     0.68,     0.68,     1.11
006238,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
006238,     5,      4,  0.10,   0.61,     0.60,     0.08,     1.02
006244,     0,      0,  0.86,   0.81,     0.70,     0.69,     1.15
006263,     4,      4,  0.92,   0.52,     0.48,     0.48,     1.09
006272,     5,      4,  0.91,   0.60,     0.53,     0.54,     1.14
006272,     6,      8,  0.61,   0.38,     0.30,     0.22,     1.26
006272,     7,      5,  0.53,   0.61,     0.54,     0.35,     1.13
006272,     8,      6,  0.76,   0.71,     0.65,     0.58,     1.08
006272,     9,      7,  0.65,   0.62,     0.56,     0.51,     1.10
006273,     5,      6,  0.91,   0.75,     0.65,     0.65,     1.16
006275,     3,      3,  0.92,   0.58,     0.54,     0.53,     1.08
006280,     2,      0,  0.04,   0.41,     0.33,     0.01,     1.24
006286,     0,      5,  0.87,   0.32,     0.26,     0.26,     1.24
006286,     3,      4,  0.74,   0.33,     0.23,     0.25,     1.45
006288,     0,      0,  0.75,   0.36,     0.33,     0.33,     1.11
006297,     0,      0,  0.68,   0.48,     0.42,     0.43,     1.13
006300,    10,     15,  0.35,   0.62,     0.65,     0.25,     0.96
006301,     3,      4,  0.79,   0.65,     0.59,     0.57,     1.10
006301,     5,     -1,  0.00,   0.00,     0.65,     0.00,     0.00
006306,     8,      9,  0.81,   0.30,     0.24,     0.23,     1.26
006312,     0,      3,  0.89,   0.43,     0.41,     0.41,     1.06
006316,     0,      0,  0.81,   0.41,     0.35,     0.35,     1.16
006321,     0,      0,  0.69,   0.56,     0.55,     0.46,     1.02
006322,     3,      5,  0.80,   0.75,     0.70,     0.65,     1.07
006322,     5,      6,  0.90,   0.73,     0.66,     0.65,     1.11
006322,     6,     15,  0.46,   0.46,     0.43,     0.18,     1.06
006333,     4,      2,  0.81,   0.40,     0.38,     0.37,     1.05
006338,     5,      7,  0.86,   0.49,     0.43,     0.42,     1.15
006338,     7,      6,  0.95,   0.73,     0.68,     0.68,     1.08
006342,     4,      8,  0.78,   0.52,     0.45,     0.45,     1.17
006342,     9,     11,  0.81,   0.76,     0.64,     0.62,     1.18
006344,     0,      5,  0.91,   0.39,     0.37,     0.35,     1.04
006344,     8,     -1,  0.00,   0.00,     0.36,     0.00,     0.00
006345,    10,      6,  0.83,   0.42,     0.38,     0.37,     1.11
006356,     4,      5,  0.83,   0.73,     0.66,     0.65,     1.11
006356,     5,      7,  0.91,   0.44,     0.38,     0.39,     1.16
006356,     7,     -1,  0.00,   0.00,     0.41,     0.00,     0.00
006366,     5,      3,  0.83,   0.45,     0.40,     0.41,     1.11
006366,     7,      6,  0.83,   0.46,     0.43,     0.42,     1.08
006368,     5,      5,  0.89,   0.49,     0.43,     0.43,     1.14
006368,     7,     -1,  0.00,   0.00,     0.62,     0.00,     0.00
006370,     4,      6,  0.61,   0.49,     0.40,     0.39,     1.24
006371,     5,      5,  0.88,   0.70,     0.68,     0.64,     1.02
006379,    11,      7,  0.92,   0.52,     0.49,     0.48,     1.06
006380,     0,      0,  0.64,   0.57,     0.62,     0.53,     0.93
006385,     0,      2,  0.66,   0.51,     0.44,     0.40,     1.15
006385,     2,      1,  0.88,   0.76,     0.65,     0.65,     1.16
006394,     0,      1,  0.85,   0.52,     0.50,     0.50,     1.03
006394,     3,      2,  0.91,   0.72,     0.68,     0.68,     1.07
006394,     5,      4,  0.01,   0.54,     0.67,     0.01,     0.81
006396,    13,      2,  0.02,   0.48,     0.35,     0.00,     1.38
006416,     5,      4,  0.86,   0.34,     0.31,     0.32,     1.11
006416,     6,      8,  0.05,   0.16,     0.31,     0.02,     0.50
006416,     7,      5,  0.84,   0.68,     0.64,     0.61,     1.06
006416,     9,     -1,  0.00,   0.00,     0.55,     0.00,     0.00
006420,     0,      1,  0.89,   0.41,     0.39,     0.39,     1.05
006420,     2,      2,  0.93,   0.36,     0.30,     0.30,     1.22
006423,     6,     -1,  0.00,   0.00,     0.67,     0.00,     0.00
006425,     1,      2,  0.09,   0.40,     0.32,     0.02,     1.24
006426,     6,     11,  0.82,   0.45,     0.38,     0.37,     1.19
006435,     1,      1,  0.84,   0.40,     0.33,     0.35,     1.24
006437,     0,      0,  0.82,   0.43,     0.40,     0.40,     1.08
006439,     0,      0,  0.86,   0.54,     0.53,     0.50,     1.02
006445,     5,      4,  0.88,   0.61,     0.57,     0.55,     1.07
006445,     6,      6,  0.88,   0.66,     0.56,     0.56,     1.19
006452,     0,      0,  0.88,   0.43,     0.40,     0.39,     1.08
006468,     3,      4,  0.89,   0.78,     0.65,     0.66,     1.19
006474,     2,      5,  0.74,   0.69,     0.68,     0.59,     1.02
006474,     6,      3,  0.95,   0.57,     0.53,     0.53,     1.08
006477,     0,      1,  0.78,   0.54,     0.47,     0.47,     1.15
006477,     4,     -1,  0.00,   0.00,     0.32,     0.00,     0.00
006482,     0,      2,  0.00,   0.60,     0.50,     0.00,     1.21
006484,     0,     -1,  0.00,   0.00,     0.29,     0.00,     0.00
006497,     0,      5,  0.90,   0.48,     0.45,     0.44,     1.07
006497,     9,      7,  0.85,   0.29,     0.26,     0.25,     1.14
006497,    10,     -1,  0.00,   0.00,     0.49,     0.00,     0.00
006506,     1,      2,  0.93,   0.78,     0.68,     0.68,     1.14
006506,     4,      3,  0.20,   0.25,     0.69,     0.20,     0.36
006508,     2,      4,  0.77,   0.68,     0.68,     0.55,     1.01
006512,     0,      0,  0.69,   0.46,     0.38,     0.41,     1.19
006514,     0,      1,  0.91,   0.71,     0.66,     0.66,     1.07
006516,     2,      0,  0.32,   0.45,     0.48,     0.38,     0.95
006519,     7,      6,  0.84,   0.56,     0.52,     0.49,     1.07
006519,    10,      7,  0.72,   0.47,     0.46,     0.42,     1.04
006520,     6,      6,  0.74,   0.48,     0.42,     0.41,     1.14
006525,     4,      3,  0.93,   0.44,     0.39,     0.39,     1.12
006530,     6,      7,  0.79,   0.50,     0.44,     0.41,     1.14
006531,     3,      3,  0.76,   0.58,     0.49,     0.50,     1.17
006531,     4,      4,  0.63,   0.56,     0.50,     0.47,     1.12
006533,     0,      1,  0.69,   0.43,     0.37,     0.39,     1.14
006535,     6,      5,  0.92,   0.78,     0.69,     0.68,     1.13
